Company,URL,Company Description,Total Funding,Sector,Industry,Sub-Industry,Country,State,City,VC Backed,Last Funding Round,Last Funding Date,Last Funding Amount
AUGMENTx,http://www.augmentx.rehab,"AUGMENTx uses augmented reality to accelerate the neurological recovery of patients living with stroke damage, limb amputation, and chronic pain.",,Healthcare,Medical Devices & Equipment,Therapeutic Devices,United States,Massachusetts,Boston,,Incubator/Accelerator - II,6/5/2018,
AccuPS,http://www.accups.com,"AccuPS is a developer of a mobile virtual reality 3-D motion-tracking technology, which includes a head-tracking device, hand controller and transmitting antenna that plug into the user's smartphone to enable the tracking signals.",0.37,Consumer Products & Services,Consumer Electronics,,United States,Indiana,West Lafayette,,Seed - II,2/10/2017,0.1
Acculis,http://www.acculistech.com,Acculis helps General Contractors eliminate the cost of rework with a powerful Augmented Reality software application. Acculis' workflow management software reduces the complexity of BIM management through a single collaborative platform. Increase communication across teams by providing access to 3D models and real-time project data.,0.12,Software (non-internet/mobile),Collaboration & Project Management Software,,United States,New York,New York,,Seed,4/13/2018,0.12
Adornably,http://www.adornably.com,"Adornably develops an augmented reality iPad app that allows users to take photos of their space and then drop high quality, ""3D photorealistic imagery"" of furniture into the images automatically set to scale. Among the app features is a ""My Design"" area that allows consumers to add, change, rotate, and delete items from the space. A ""live"" mode enables them to walk around the space while viewing the virtual pieces through their iPad screen. They can also post, share and save favorite photos.",0.06,Mobile & Telecommunications,Mobile Software & Services,Photo,United States,California,Los Angeles,,Debt,12/20/2013,0.06
Advanced Science And Automation Corp,http://www.ascience.com,"Advanced Science And Automation Corp is a company that received a STTR Phase II grant for a project entitled: Advanced Virtual Manufacturing Lab for Research, Training, and Education. Their project proposes the creation of an Advanced Virtual Manufacturing Lab (AVML) for training and education on high-tech CNC machines. The key elements of the AVML are: (a) textured 3D photo-realistic virtual models of the machines and lab that include the machines' controls and moving parts; (b) semi-empirical model of the machining operation; (c) hierarchical knowledge-base for process training; (d) unstructured knowledge-base for lecture delivery; (e) natural-language human-like intelligent virtual tutors. In this phase of the research, the AVML will be completed by adding more capabilities, including 5-axis milling and collision detection between the tool and the machine, and enhancing the accuracy and completeness of the machining operation model. Furthermore, the AVML will be enhanced by incorporating Conversational Programming, different types of machine controllers, and two additional types of machines: CNC lathe and production-grade 5-axes milling machine. Pilot implementations will be conducted at a university and two community colleges. Applications of AVML include: training students to operate manufacturing machines in a safe environment, allowing students and researchers to view and interact with a near-physically accurate simulation of manufacturing machines, and optimization of the manufacturing process plan by testing various plans on the virtual machine before machining on the physical machine. Manufacturing drives innovation and is a powerful engine of economic growth. However, US manufacturers face a shortage of workers to run tomorrow's factories. The AVML will enhance the quality, accessibility, and productivity of manufacturing education and training and will advance scientific discovery and engineering analysis of manufacturing processes. Also, The AVML will enhance experimentation and learning, increase student creativity and problem-solving capability, enhance collaboration among students, teachers, and industry experts, and promote participation and equal access of underrepresented groups to manufacturing technology training. Most potential manufacturing workers do not have access to state-of-the-art manufacturing labs that can provide the required training. The AVML will enable such access. This success, in turn, will strengthen US manufacturers' competitiveness and further important US national interests.   Advanced Science And Automation Corp is a company that received a SBIR Phase II grant for a project entitled: Virtual Learning Environment for University Physics. Their project proposes the development of a web-based collaborative Virtual Learning Environment for teaching freshman university physics, called the Virtual Physics Lab (VPL). The VPL will deliver an individualized self-paced learning experience using high-end multimedia lectures, and interactive virtual-reality simulations. The multimedia lectures are delivered using a synchronized multimodal combination of both highlighted text and speech that is delivered by near-photorealistic intelligent animated virtual instructors. The multimedia lectures include interactive Flash animations, movies, and 2D/3D animated illustrations. The VPL's interactive simulations are delivered in a video-game-like 3D virtual environment using physics-based models to simulate physics concepts such as pendulums, impact, buoyancy, magnetism etc. The VPL is highly interactive and uses pre-topic, in-topic, and post-topic questions to keep students engaged and to assess whether or not students need further training in any given subject. The VPL also includes collaborative/competitive mini 3D computer games that use relevant physics principles to increase the students' interest about the material being taught, and to add entertainment and competitive dimensions to the learning experience. The VPL's interactivity and the visually stimulating instruction will result in faster assimilation, deeper understanding, and higher memory retention by the students than traditional text-book/classroom learning. The VPL has the potential to radically change the way physics is taught. Due to the current exponential rate of increase in human scientific and technical knowledge, there is a need for students to assimilate more knowledge at a faster rate. Current classroom and text-book instruction delivery methods cannot satisfy this need due to a variety of reasons, including, delivery of the lecture in non-engaging and minimally interactive way, use of antiquated static graphical illustrations, variability of teacher skill, lack of one-on-one teacher attention, and variability of student learning styles and speeds. The VPL will help overcome those limitations. Particularly, it will enhance the quality, accessibility, and speed of learning. It will enhance the student experimentation, creativity and problem-solving capability. Freshman university physics was chosen because it is one of the essential foundations for training high-caliber engineers and scientists who will ensure the continued leadership of the US in developing new technologies and in conducting cutting-edge scientific research. The US market for the proposed learning tool is estimated at 500,000 licenses per year. A larger market exists worldwide in English language speaking countries, and for future versions of the VPL that will be translated into other languages.   Advanced Science And Automation Corp is a company that received a SBIR Phase I grant for a project entitled: Virtual Learning Environment for University Physics. Their research project proposes developing an advanced web-based collaborative virtual learning environment (VLE) for teaching freshman university physics. The VLE will deliver self-paced compelling and engaging instruction in the form of interactive simulations and high-end multimedia lectures. The interactive simulations will be delivered in a video-game-like 3D virtual environment, that supports multi-users, using physics-based models. The instruction will be delivered by near-photorealistic intelligent animated virtual instructors who can answer natural language questions. The multimedia lectures will include synchronized speech, text, sounds, movies and 2D/3D animated illustrations. At the end of each section, the student will be offered test exercises that he/she can either do on his/her own or with guidance from the virtual instructor. The VLE will include the subjects covered in first year university physics including, kinematics, Newtonian mechanics, solid mechanics, fluid mechanics, thermodynamics, electricity & magnetism, optics, relativity and quantum/particle physics. In Phase I, a prototype VLE which includes a subset of those subjects (about 20% of a typical first-year physics text book) will be developed. The VLE's interactivity and high level of visual/audio quality will result in faster assimilation, deeper understanding, and higher memory retention by the students than traditional text-book/classroom learning. The proposed university physics VLE has the potential to radically change the way physics is taught. Due to the current exponential rate of increase in human scientific and technical knowledge, there is a need for students in science and engineering fields to assimilate more knowledge at a faster rate. Current classroom and text-book instruction delivery methods cannot satisfy these needs due to a variety of reasons, including, delivery of the lecture in non-engaging and minimally interactive way, use of antiquated static graphical illustrations, variability of teacher skill, lack of one-on-one teacher attention, and variability of student learning styles and speeds. The VLE will help overcome those limitations. Particularly, it will enhance the quality, accessibility, and speed of learning. It will also enhance the student experimentation, creativity and problem-solving capability. Freshman university physics was chosen in this project because it is one of the essential foundations for training high-caliber engineers and scientists who will ensure the continued leadership of the US in developing new technologies and in conducting cutting-edge scientific research. The VLE framework can be applied to other fields including mathematics, chemistry and biology. It can also be applied to K-12 courses.",1.16,Internet,Internet Software & Services,Education & Training,United States,Indiana,Indianapolis,,Grant - II,3/9/2009,0.51
Against Gravity,http://www.againstgrav.com,"Against Gravity is a Seattle based VR company that makes the VR Social app, Rec Room. Rec Room is a VR social club where you can play active games with people from around the world.",5.82,Software (non-internet/mobile),"Scientific, Engineering Software",,United States,Washington,Seattle,Yes,Seed VC,2/3/2017,5
Aireal,http://www.aireal.io,"Aireal is an augmented reality platform that enables people to design, discover and experience (2D, 3D, Video and Interactive) content that is super-imposed over their real world environment and is visible through the use of mobile and wearable technology.",,Mobile & Telecommunications,Mobile Software & Services,Multimedia & Graphics,United States,Texas,Dallas,,Seed,1/16/2018,
Airpush,http://www.airpush.com/android-developers,"Airpush specializes in digital advertising solutions. With powerful platforms integrated into over 250,000 mobile app, mobile web, and virtual reality properties, as well as one of the world's largest consumer data marketplaces, Airpush provides some of the most diverse and highest performing monetization and advertising solutions in the industry.",11.28,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",United States,Colorado,Denver,,Unattributed,9/6/2017,11.28
Altoida,http://www.altoida.com,"Altoida has developed a machine learning algorithm is based on patient data of over 2500 AD patients in a time series over 8 years. Using an augmented reality based test on a smartphone, the company can diagnose AD up to 6 years prior it’s onset with 94% accuracy. Altoida is already filing for FDA approval and expects clearance in 2017 for a medical device used by doctors. Long-term vision is a moonshot mission that consists of three steps: 1. Enable the delay of AD onset using early and accurate screening, 2. Develop prevention methods using Digital Health behavioural change interventions (Digital Pill) and ultimately 3. Validate a neural treatment mechanisms and come up with a cure to a disease that is still unsolved today.",1.2,Mobile & Telecommunications,Mobile Software & Services,Healthcare,United States,California,La Jolla,Yes,Seed VC,1/17/2017,1.2
Altopax,http://www.altopax.com,Altopax utilizes virtual reality to provide teletherapy. Its solutions strive to give individuals a stronger support system and more access to care.,,Internet,Internet Software & Services,Healthcare,United States,New York,,,Incubator/Accelerator,12/17/2017,
AltspaceVR,http://www.altvr.com,"AltspaceVR, formerly Qualia3D, is a software company building the social platform for virtual reality. With AltspaceVR, users connect in virtual spaces to create shared experiences around anything on the web. The AltspaceVR API lets developers write simple web code to create new VR experiences. AltspaceVR allows people to watch streaming video, play games, and get work done, together and entirely inside of virtual reality.",15.5,Internet,Internet Software & Services,"Scientific, Engineering",United States,California,Redwood City,Yes,Series A,7/29/2015,10.3
Amber Waves VR,http://www.amberwavesvr.com,"Amber Waves VR offers software and cloud-based services for big data visualization and data analytics in the Virtual Reality / Augmented Reality / Mixed Reality spaces. The company's technology enables customers to easily convert datasets into VR/AR/MR experiences and provides advanced tools for data exploration and analysis. As VR/AR/MR disrupts every medium that has come before them, its mission is to be the go-to solution for big data visualization and data in these new media.",,Software (non-internet/mobile),"Business Intelligence, Analytics & Performance Mgmt Software",,United States,Montana,Lavina,,,,
Angle Technologies,http://www.angle-tech.com,Angle Technologies is a stealth company building virtual reality in San Francisco.,8,Software (non-internet/mobile),Stealth Mode,,United States,California,San Francisco,Yes,Series A,4/13/2017,8
Animate Objects,http://www.animateobjects.net,Animate Objects is an augmented and virtual reality innovation lab.,,Software (non-internet/mobile),"Scientific, Engineering Software",,United States,California,San Diego,,Incubator/Accelerator,9/2/2017,
AppliedVR,http://www.appliedvr.net,"AppliedVR provides a virtual reality platform that focuses on enhancing patient experience, increasing efficiency, and maximizing health care value. The platform is designed to engage the patient during all stages of procedures in hospitals and surgical centers, offering patients drug-free alternatives to manage pain and anxiety associated with medical procedures.",0.1,Software (non-internet/mobile),Healthcare Software,,United States,California,Los Angeles,Yes,Seed VC,4/4/2017,
